      Lon      Lat    Year Fag_syl   C3_gr   Total
    13.25    47.25    1967   0.000   0.374   0.374
    13.25    47.25    1968   0.000   0.564   0.564
    13.25    47.25    1969   0.000   0.392   0.392
    13.25    47.25    1970   0.000   0.348   0.348
    13.25    47.25    1971   0.000   0.502   0.502
    13.25    47.25    1972   0.000   0.321   0.321
    13.25    47.25    1973   0.000   0.580   0.580
    13.25    47.25    1974   0.000   0.313   0.313
    13.25    47.25    1975   0.000   0.541   0.541
    13.25    47.25    1976   0.000   0.440   0.440
    13.25    47.25    1977   0.000   0.553   0.553
    13.25    47.25    1978   0.000   0.373   0.373
    13.25    47.25    1979   0.000   0.474   0.474
    13.25    47.25    1980   0.000   0.320   0.320
    13.25    47.25    1981   0.000   0.523   0.523
    13.25    47.25    1982   0.000   0.407   0.407
    13.25    47.25    1983   0.000   0.627   0.627
    13.25    47.25    1984   0.000   0.422   0.422
    13.25    47.25    1985   0.000   0.553   0.553
    13.25    47.25    1986   0.000   0.461   0.461
    13.25    47.25    1987   0.000   0.396   0.396
    13.25    47.25    1988   0.000   0.566   0.566
    13.25    47.25    1989   0.000   0.416   0.416
    13.25    47.25    1990   0.000   0.583   0.583
    13.25    47.25    1991   0.000   0.363   0.363
    13.25    47.25    1992   0.000   0.661   0.661
    13.25    47.25    1993   0.000   0.498   0.498
    13.25    47.25    1994   0.000   0.595   0.595
    13.25    47.25    1995   0.000   0.513   0.513
    13.25    47.25    1996   0.000   0.615   0.615
    13.25    47.25    1997   0.000   0.433   0.433
    13.25    47.25    1998   0.000   0.570   0.570
    13.25    47.25    1999   0.000   0.488   0.488
    13.25    47.25    2000   0.000   0.612   0.612
    13.25    47.25    2001   0.000   0.521   0.521
    13.25    47.25    2002   0.000   0.538   0.538
    13.25    47.25    2003   0.000   0.558   0.558
    13.25    47.25    2004   0.000   0.490   0.490
    13.25    47.25    2005   0.000   0.596   0.596
    13.25    47.25    2006   0.000   0.499   0.499
    13.25    47.25    2007   0.000   0.678   0.678
    13.25    47.25    2008   0.000   0.447   0.447
    13.25    47.25    2009   0.000   0.566   0.566
    13.25    47.25    2010   0.000   0.483   0.483
    13.25    47.25    2011   0.000   0.629   0.629
    13.25    47.25    2012   0.000   0.504   0.504
    13.25    47.25    2013   0.000   0.669   0.669
    13.25    47.25    2014   0.000   0.483   0.483
    13.25    47.25    2015   0.000   0.629   0.629
    13.25    47.25    2016   0.000   0.475   0.475
    13.25    47.25    2017   0.000   0.656   0.656
    13.75    47.25    1901   0.000   0.428   0.428
    13.75    47.25    1902   0.000   0.375   0.375
    13.75    47.25    1903   0.000   0.490   0.490
    13.75    47.25    1904   0.000   0.423   0.423
    13.75    47.25    1905   0.000   0.448   0.448
    13.75    47.25    1906   0.000   0.400   0.400
    13.75    47.25    1907   0.000   0.546   0.546
    13.75    47.25    1908   0.000   0.423   0.423
    13.75    47.25    1909   0.000   0.519   0.519
    13.75    47.25    1910   0.000   0.357   0.357
    13.75    47.25    1911   0.000   0.414   0.414
    13.75    47.25    1912   0.000   0.390   0.390
    13.75    47.25    1913   0.000   0.475   0.475
    13.75    47.25    1914   0.000   0.287   0.287
    13.75    47.25    1915   0.000   0.510   0.510
    13.75    47.25    1916   0.000   0.339   0.339
    13.75    47.25    1917   0.000   0.573   0.573
    13.75    47.25    1918   0.000   0.396   0.396
    13.75    47.25    1919   0.000   0.392   0.392
    13.75    47.25    1920   0.000   0.495   0.495
    13.75    47.25    1921   0.000   0.481   0.481
    13.75    47.25    1922   0.000   0.477   0.477
    13.75    47.25    1923   0.000   0.518   0.518
    13.75    47.25    1924   0.000   0.439   0.439
    13.75    47.25    1925   0.000   0.470   0.470
    13.75    47.25    1926   0.000   0.375   0.375
    13.75    47.25    1927   0.000   0.495   0.495
    13.75    47.25    1928   0.000   0.367   0.367
    13.75    47.25    1929   0.000   0.570   0.570
    13.75    47.25    1930   0.000   0.438   0.438
    13.75    47.25    1931   0.000   0.516   0.516
    13.75    47.25    1932   0.000   0.474   0.474
    13.75    47.25    1933   0.000   0.370   0.370
    13.75    47.25    1934   0.000   0.622   0.622
    13.75    47.25    1935   0.000   0.414   0.414
    13.75    47.25    1936   0.000   0.487   0.487
    13.75    47.25    1937   0.000   0.498   0.498
    13.75    47.25    1938   0.000   0.413   0.413
    13.75    47.25    1939   0.000   0.512   0.512
    13.75    47.25    1940   0.000   0.488   0.488
    13.75    47.25    1941   0.000   0.445   0.445
    13.75    47.25    1942   0.000   0.518   0.518
    13.75    47.25    1943   0.000   0.524   0.524
    13.75    47.25    1944   0.000   0.472   0.472
    13.75    47.25    1945   0.000   0.552   0.552
    13.75    47.25    1946   0.000   0.575   0.575
    13.75    47.25    1947   0.000   0.530   0.530
    13.75    47.25    1948   0.000   0.563   0.563
    13.75    47.25    1949   0.000   0.590   0.590
    13.75    47.25    1950   0.000   0.515   0.515
    13.75    47.25    1951   0.000   0.459   0.459
    13.75    47.25    1952   0.000   0.575   0.575
    13.75    47.25    1953   0.000   0.443   0.443
    13.75    47.25    1954   0.000   0.442   0.442
    13.75    47.25    1955   0.000   0.479   0.479
    13.75    47.25    1956   0.000   0.424   0.424
    13.75    47.25    1957   0.000   0.416   0.416
    13.75    47.25    1958   0.000   0.514   0.514
    13.75    47.25    1959   0.000   0.475   0.475
    13.75    47.25    1960   0.000   0.466   0.466
    13.75    47.25    1961   0.000   0.520   0.520
    13.75    47.25    1962   0.000   0.484   0.484
    13.75    47.25    1963   0.000   0.511   0.511
    13.75    47.25    1964   0.000   0.522   0.522
    13.75    47.25    1965   0.000   0.487   0.487
    13.75    47.25    1966   0.000   0.513   0.513
    13.75    47.25    1967   0.000   0.500   0.500
    13.75    47.25    1968   0.000   0.550   0.550
    13.75    47.25    1969   0.000   0.497   0.497
    13.75    47.25    1970   0.000   0.357   0.357
    13.75    47.25    1971   0.000   0.564   0.564
    13.75    47.25    1972   0.000   0.301   0.301
    13.75    47.25    1973   0.000   0.617   0.617
    13.75    47.25    1974   0.000   0.308   0.308
    13.75    47.25    1975   0.000   0.577   0.577
    13.75    47.25    1976   0.000   0.431   0.431
    13.75    47.25    1977   0.000   0.631   0.631
    13.75    47.25    1978   0.000   0.358   0.358
    13.75    47.25    1979   0.000   0.491   0.491
    13.75    47.25    1980   0.000   0.325   0.325
    13.75    47.25    1981   0.000   0.545   0.545
    13.75    47.25    1982   0.000   0.414   0.414
    13.75    47.25    1983   0.000   0.645   0.645
    13.75    47.25    1984   0.000   0.423   0.423
    13.75    47.25    1985   0.000   0.582   0.582
    13.75    47.25    1986   0.000   0.482   0.482
    13.75    47.25    1987   0.000   0.445   0.445
    13.75    47.25    1988   0.000   0.579   0.579
    13.75    47.25    1989   0.000   0.472   0.472
    13.75    47.25    1990   0.000   0.610   0.610
    13.75    47.25    1991   0.000   0.373   0.373
    13.75    47.25    1992   0.000   0.675   0.675
    13.75    47.25    1993   0.000   0.542   0.542
    13.75    47.25    1994   0.000   0.609   0.609
    13.75    47.25    1995   0.000   0.572   0.572
    13.75    47.25    1996   0.000   0.636   0.636
    13.75    47.25    1997   0.000   0.489   0.489
    13.75    47.25    1998   0.000   0.615   0.615
    13.75    47.25    1999   0.000   0.537   0.537
    13.75    47.25    2000   0.000   0.664   0.664
    13.75    47.25    2001   0.000   0.577   0.577
    13.75    47.25    2002   0.000   0.597   0.597
    13.75    47.25    2003   0.000   0.617   0.617
    13.75    47.25    2004   0.000   0.540   0.540
    13.75    47.25    2005   0.000   0.622   0.622
    13.75    47.25    2006   0.000   0.556   0.556
    13.75    47.25    2007   0.000   0.709   0.709
    13.75    47.25    2008   0.000   0.503   0.503
    13.75    47.25    2009   0.000   0.662   0.662
    13.75    47.25    2010   0.000   0.496   0.496
    13.75    47.25    2011   0.000   0.712   0.712
    13.75    47.25    2012   0.000   0.520   0.520
    13.75    47.25    2013   0.000   0.709   0.709
    13.75    47.25    2014   0.000   0.524   0.524
    13.75    47.25    2015   0.000   0.665   0.665
    13.75    47.25    2016   0.000   0.505   0.505
    13.75    47.25    2017   0.000   0.722   0.722
     8.75    47.75    1901   0.502   0.000   0.502
     8.75    47.75    1902   0.501   0.000   0.501
     8.75    47.75    1903   0.479   0.007   0.486
     8.75    47.75    1904   0.448   0.005   0.453
     8.75    47.75    1905   0.446   0.004   0.450
     8.75    47.75    1906   0.486   0.002   0.488
     8.75    47.75    1907   0.471   0.009   0.481
     8.75    47.75    1908   0.448   0.005   0.453
     8.75    47.75    1909   0.517   0.016   0.533
     8.75    47.75    1910   0.462   0.012   0.475
     8.75    47.75    1911   0.340   0.007   0.347
     8.75    47.75    1912   0.578   0.009   0.587
     8.75    47.75    1913   0.528  -0.000   0.528
     8.75    47.75    1914   0.504  -0.000   0.503
     8.75    47.75    1915   0.466   0.023   0.488
     8.75    47.75    1916   0.518   0.025   0.543
     8.75    47.75    1917   0.412   0.020   0.432
     8.75    47.75    1918   0.506  -0.005   0.501
     8.75    47.75    1919   0.366   0.000   0.366
     8.75    47.75    1920   0.582   0.000   0.583
     8.75    47.75    1921   0.489   0.004   0.494
     8.75    47.75    1922   0.495   0.002   0.497
     8.75    47.75    1923   0.483  -0.000   0.483
     8.75    47.75    1924   0.528  -0.000   0.528
     8.75    47.75    1925   0.492   0.000   0.492
     8.75    47.75    1926   0.488   0.021   0.509
     8.75    47.75    1927   0.485   0.025   0.510
     8.75    47.75    1928   0.388   0.002   0.390
     8.75    47.75    1929   0.424   0.014   0.438
     8.75    47.75    1930   0.490   0.018   0.508
     8.75    47.75    1931   0.464   0.023   0.487
     8.75    47.75    1932   0.444   0.022   0.467
     8.75    47.75    1933   0.518   0.006   0.524
     8.75    47.75    1934   0.500   0.002   0.502
     8.75    47.75    1935   0.504   0.001   0.506
     8.75    47.75    1936   0.530   0.011   0.541
     8.75    47.75    1937   0.535   0.011   0.546
     8.75    47.75    1938   0.516  -0.001   0.515
     8.75    47.75    1939   0.511   0.001   0.512
     8.75    47.75    1940   0.534   0.010   0.545
     8.75    47.75    1941   0.449   0.010   0.459
     8.75    47.75    1942   0.537   0.011   0.548
     8.75    47.75    1943   0.470  -0.001   0.469
     8.75    47.75    1944   0.528  -0.000   0.528
     8.75    47.75    1945   0.555  -0.000   0.555
     8.75    47.75    1946   0.564  -0.000   0.564
     8.75    47.75    1947   0.297   0.000   0.297
     8.75    47.75    1948   0.665   0.000   0.665
     8.75    47.75    1949   0.443  -0.000   0.443
     8.75    47.75    1950   0.543   0.004   0.547
     8.75    47.75    1951   0.487   0.008   0.495
     8.75    47.75    1952   0.487   0.016   0.504
     8.75    47.75    1953   0.525   0.005   0.530
     8.75    47.75    1954   0.507   0.005   0.512
     8.75    47.75    1955   0.517   0.000   0.517
     8.75    47.75    1956   0.517   0.000   0.517
     8.75    47.75    1957   0.548   0.000   0.548
     8.75    47.75    1958   0.482   0.000   0.482
     8.75    47.75    1959   0.584   0.000   0.584
     8.75    47.75    1960   0.528   0.000   0.529
     8.75    47.75    1961   0.548   0.000   0.548
     8.75    47.75    1962   0.510   0.000   0.510
     8.75    47.75    1963   0.541   0.000   0.542
     8.75    47.75    1964   0.471   0.000   0.472
     8.75    47.75    1965   0.498   0.000   0.498
     8.75    47.75    1966   0.554   0.000   0.554
     8.75    47.75    1967   0.545   0.000   0.545
     8.75    47.75    1968   0.530   0.000   0.530
     8.75    47.75    1969   0.512   0.000   0.512
     8.75    47.75    1970   0.467   0.000   0.467
     8.75    47.75    1971   0.574   0.000   0.574
     8.75    47.75    1972   0.514   0.000   0.514
     8.75    47.75    1973   0.453  -0.000   0.453
     8.75    47.75    1974   0.505   0.000   0.505
     8.75    47.75    1975   0.482  -0.000   0.482
     8.75    47.75    1976   0.511   0.000   0.511
     8.75    47.75    1977   0.521  -0.000   0.521
     8.75    47.75    1978   0.518   0.000   0.518
     8.75    47.75    1979   0.491   0.000   0.492
     8.75    47.75    1980   0.459   0.000   0.459
     8.75    47.75    1981   0.563   0.000   0.563
     8.75    47.75    1982   0.488   0.000   0.488
     8.75    47.75    1983   0.470   0.000   0.470
     8.75    47.75    1984   0.487   0.000   0.487
     8.75    47.75    1985   0.522   0.000   0.522
     8.75    47.75    1986   0.482   0.000   0.482
     8.75    47.75    1987   0.481   0.000   0.481
     8.75    47.75    1988   0.528   0.005   0.533
     8.75    47.75    1989   0.561   0.007   0.569
     8.75    47.75    1990   0.545   0.004   0.549
     8.75    47.75    1991   0.454   0.001   0.455
     8.75    47.75    1992   0.485  -0.000   0.485
     8.75    47.75    1993   0.534   0.000   0.534
     8.75    47.75    1994   0.459   0.016   0.475
     8.75    47.75    1995   0.480   0.016   0.496
     8.75    47.75    1996   0.559   0.011   0.570
     8.75    47.75    1997   0.574   0.006   0.581
     8.75    47.75    1998   0.509  -0.002   0.507
     8.75    47.75    1999   0.533  -0.000   0.533
     8.75    47.75    2000   0.571   0.000   0.571
     8.75    47.75    2001   0.538   0.011   0.549
     8.75    47.75    2002   0.531   0.013   0.545
     8.75    47.75    2003   0.379  -0.003   0.377
     8.75    47.75    2004   0.607   0.000   0.607
     8.75    47.75    2005   0.606  -0.000   0.606
     8.75    47.75    2006   0.497   0.009   0.506
     8.75    47.75    2007   0.554   0.015   0.569
     8.75    47.75    2008   0.560  -0.003   0.557
     8.75    47.75    2009   0.545   0.000   0.545
     8.75    47.75    2010   0.574   0.000   0.574
     8.75    47.75    2011   0.596   0.001   0.597
     8.75    47.75    2012   0.588  -0.000   0.587
     8.75    47.75    2013   0.505   0.000   0.505
     8.75    47.75    2014   0.558   0.000   0.558
     8.75    47.75    2015   0.493   0.000   0.493
     8.75    47.75    2016   0.510   0.000   0.510
     8.75    47.75    2017   0.617   0.000   0.617
     9.25    47.75    1901   0.462   0.000   0.462
     9.25    47.75    1902   0.463   0.011   0.474
     9.25    47.75    1903   0.454   0.003   0.457
     9.25    47.75    1904   0.406   0.003   0.410
     9.25    47.75    1905   0.405   0.002   0.406
     9.25    47.75    1906   0.479  -0.000   0.478
     9.25    47.75    1907   0.465   0.000   0.465
     9.25    47.75    1908   0.455  -0.000   0.455
     9.25    47.75    1909   0.518   0.000   0.518
     9.25    47.75    1910   0.481   0.000   0.481
     9.25    47.75    1911   0.316   0.000   0.316
     9.25    47.75    1912   0.587   0.000   0.587
     9.25    47.75    1913   0.528   0.000   0.528
     9.25    47.75    1914   0.483   0.000   0.484
     9.25    47.75    1915   0.455   0.000   0.455
     9.25    47.75    1916   0.499   0.010   0.509
     9.25    47.75    1917   0.378   0.007   0.385
     9.25    47.75    1918   0.486   0.003   0.489
     9.25    47.75    1919   0.340   0.004   0.344
     9.25    47.75    1920   0.540   0.016   0.556
     9.25    47.75    1921   0.404   0.009   0.413
     9.25    47.75    1922   0.472   0.017   0.489
     9.25    47.75    1923   0.419   0.005   0.423
     9.25    47.75    1924   0.509   0.009   0.518
     9.25    47.75    1925   0.475   0.008   0.483
     9.25    47.75    1926   0.478   0.007   0.485
     9.25    47.75    1927   0.509   0.004   0.513
     9.25    47.75    1928   0.359  -0.001   0.358
     9.25    47.75    1929   0.458  -0.000   0.458
     9.25    47.75    1930   0.500   0.000   0.500
     9.25    47.75    1931   0.474   0.000   0.474
     9.25    47.75    1932   0.438   0.010   0.448
     9.25    47.75    1933   0.510   0.005   0.515
     9.25    47.75    1934   0.465   0.005   0.470
     9.25    47.75    1935   0.468   0.003   0.471
     9.25    47.75    1936   0.499   0.001   0.500
     9.25    47.75    1937   0.500  -0.000   0.499
     9.25    47.75    1938   0.497  -0.000   0.497
     9.25    47.75    1939   0.483   0.000   0.483
     9.25    47.75    1940   0.509  -0.000   0.509
     9.25    47.75    1941   0.429   0.000   0.429
     9.25    47.75    1942   0.490   0.000   0.490
     9.25    47.75    1943   0.373   0.006   0.379
     9.25    47.75    1944   0.480   0.006   0.486
     9.25    47.75    1945   0.496   0.013   0.509
     9.25    47.75    1946   0.500   0.013   0.513
     9.25    47.75    1947   0.298   0.008   0.306
     9.25    47.75    1948   0.608   0.015   0.623
     9.25    47.75    1949   0.353   0.006   0.359
     9.25    47.75    1950   0.510   0.015   0.525
     9.25    47.75    1951   0.465   0.009   0.475
     9.25    47.75    1952   0.455   0.010   0.465
     9.25    47.75    1953   0.501   0.002   0.503
     9.25    47.75    1954   0.494   0.002   0.495
     9.25    47.75    1955   0.490   0.001   0.491
     9.25    47.75    1956   0.490   0.001   0.492
     9.25    47.75    1957   0.498   0.002   0.500
     9.25    47.75    1958   0.433   0.002   0.435
     9.25    47.75    1959   0.534   0.010   0.545
     9.25    47.75    1960   0.490   0.008   0.498
     9.25    47.75    1961   0.487   0.006   0.493
     9.25    47.75    1962   0.468   0.003   0.472
     9.25    47.75    1963   0.525   0.001   0.526
     9.25    47.75    1964   0.447   0.001   0.448
     9.25    47.75    1965   0.515   0.001   0.516
     9.25    47.75    1966   0.522   0.001   0.523
     9.25    47.75    1967   0.518   0.000   0.519
     9.25    47.75    1968   0.508   0.000   0.508
     9.25    47.75    1969   0.489   0.000   0.489
     9.25    47.75    1970   0.432   0.000   0.432
     9.25    47.75    1971   0.518   0.000   0.519
     9.25    47.75    1972   0.463   0.000   0.463
     9.25    47.75    1973   0.434   0.000   0.434
     9.25    47.75    1974   0.501   0.000   0.501
     9.25    47.75    1975   0.461   0.000   0.461
     9.25    47.75    1976   0.513   0.000   0.513
     9.25    47.75    1977   0.511   0.000   0.511
     9.25    47.75    1978   0.504   0.001   0.505
     9.25    47.75    1979   0.452   0.001   0.452
     9.25    47.75    1980   0.436   0.001   0.437
     9.25    47.75    1981   0.515   0.001   0.516
     9.25    47.75    1982   0.431   0.001   0.432
     9.25    47.75    1983   0.412   0.008   0.419
     9.25    47.75    1984   0.457   0.006   0.464
     9.25    47.75    1985   0.455   0.016   0.471
     9.25    47.75    1986   0.455   0.026   0.481
     9.25    47.75    1987   0.429   0.025   0.454
     9.25    47.75    1988   0.480   0.002   0.482
     9.25    47.75    1989   0.513   0.008   0.521
     9.25    47.75    1990   0.533   0.004   0.537
     9.25    47.75    1991   0.426   0.001   0.427
     9.25    47.75    1992   0.471   0.001   0.472
     9.25    47.75    1993   0.529   0.001   0.530
     9.25    47.75    1994   0.456   0.009   0.465
     9.25    47.75    1995   0.461   0.019   0.479
     9.25    47.75    1996   0.536   0.029   0.565
     9.25    47.75    1997   0.512   0.030   0.541
     9.25    47.75    1998   0.465  -0.007   0.459
     9.25    47.75    1999   0.553   0.000   0.553
     9.25    47.75    2000   0.575   0.000   0.575
     9.25    47.75    2001   0.548   0.000   0.548
     9.25    47.75    2002   0.553   0.000   0.553
     9.25    47.75    2003   0.399   0.000   0.399
     9.25    47.75    2004   0.609   0.000   0.609
     9.25    47.75    2005   0.602   0.000   0.603
     9.25    47.75    2006   0.478   0.000   0.478
     9.25    47.75    2007   0.543   0.014   0.557
     9.25    47.75    2008   0.537  -0.003   0.534
     9.25    47.75    2009   0.513   0.006   0.519
     9.25    47.75    2010   0.554   0.018   0.572
     9.25    47.75    2011   0.553   0.018   0.571
     9.25    47.75    2012   0.540   0.012   0.552
     9.25    47.75    2013   0.477  -0.003   0.473
     9.25    47.75    2014   0.530   0.016   0.546
     9.25    47.75    2015   0.448   0.010   0.458
     9.25    47.75    2016   0.523   0.025   0.548
     9.25    47.75    2017   0.605   0.020   0.625
     9.75    47.75    1901   0.523   0.009   0.533
     9.75    47.75    1902   0.533   0.010   0.543
     9.75    47.75    1903   0.497   0.001   0.498
     9.75    47.75    1904   0.469   0.002   0.471
     9.75    47.75    1905   0.479   0.001   0.480
     9.75    47.75    1906   0.531  -0.000   0.530
     9.75    47.75    1907   0.497   0.000   0.497
     9.75    47.75    1908   0.492   0.000   0.492
     9.75    47.75    1909   0.554   0.000   0.554
     9.75    47.75    1910   0.499   0.010   0.510
     9.75    47.75    1911   0.325   0.007   0.332
     9.75    47.75    1912   0.622   0.014   0.636
     9.75    47.75    1913   0.569  -0.000   0.568
     9.75    47.75    1914   0.557   0.002   0.559
     9.75    47.75    1915   0.511   0.000   0.511
     9.75    47.75    1916   0.561   0.000   0.561
     9.75    47.75    1917   0.434   0.000   0.434
     9.75    47.75    1918   0.547   0.000   0.547
     9.75    47.75    1919   0.403   0.000   0.404
     9.75    47.75    1920   0.595   0.013   0.608
     9.75    47.75    1921   0.400   0.008   0.409
     9.75    47.75    1922   0.535   0.014   0.549
     9.75    47.75    1923   0.502  -0.001   0.501
     9.75    47.75    1924   0.552  -0.000   0.552
     9.75    47.75    1925   0.504   0.000   0.504
     9.75    47.75    1926   0.513   0.000   0.513
     9.75    47.75    1927   0.518   0.024   0.542
     9.75    47.75    1928   0.426   0.004   0.430
     9.75    47.75    1929   0.475   0.003   0.478
     9.75    47.75    1930   0.528  -0.001   0.528
     9.75    47.75    1931   0.491   0.011   0.502
     9.75    47.75    1932   0.468   0.011   0.479
     9.75    47.75    1933   0.540   0.003   0.542
     9.75    47.75    1934   0.539   0.001   0.540
     9.75    47.75    1935   0.520  -0.000   0.520
     9.75    47.75    1936   0.544   0.000   0.544
     9.75    47.75    1937   0.547   0.000   0.547
     9.75    47.75    1938   0.520   0.000   0.520
     9.75    47.75    1939   0.511   0.000   0.511
     9.75    47.75    1940   0.528   0.011   0.539
     9.75    47.75    1941   0.449   0.013   0.461
     9.75    47.75    1942   0.524   0.012   0.536
     9.75    47.75    1943   0.464  -0.003   0.461
     9.75    47.75    1944   0.536   0.000   0.536
     9.75    47.75    1945   0.578   0.000   0.578
     9.75    47.75    1946   0.555   0.000   0.555
     9.75    47.75    1947   0.254   0.000   0.254
     9.75    47.75    1948   0.668   0.000   0.668
     9.75    47.75    1949   0.467   0.006   0.473
     9.75    47.75    1950   0.538   0.017   0.555
     9.75    47.75    1951   0.498   0.017   0.515
     9.75    47.75    1952   0.496   0.013   0.510
     9.75    47.75    1953   0.532   0.000   0.532
     9.75    47.75    1954   0.511   0.001   0.512
     9.75    47.75    1955   0.520  -0.000   0.520
     9.75    47.75    1956   0.524   0.000   0.524
     9.75    47.75    1957   0.548   0.000   0.548
     9.75    47.75    1958   0.483   0.000   0.483
     9.75    47.75    1959   0.557   0.000   0.557
     9.75    47.75    1960   0.533   0.000   0.533
     9.75    47.75    1961   0.538   0.010   0.548
     9.75    47.75    1962   0.449   0.009   0.459
     9.75    47.75    1963   0.511   0.011   0.522
     9.75    47.75    1964   0.449   0.015   0.464
     9.75    47.75    1965   0.462   0.025   0.488
     9.75    47.75    1966   0.516   0.025   0.541
     9.75    47.75    1967   0.514   0.024   0.538
     9.75    47.75    1968   0.519  -0.005   0.514
     9.75    47.75    1969   0.522  -0.000   0.522
     9.75    47.75    1970   0.462   0.000   0.462
     9.75    47.75    1971   0.567  -0.000   0.567
     9.75    47.75    1972   0.508   0.013   0.521
     9.75    47.75    1973   0.447   0.000   0.447
     9.75    47.75    1974   0.513   0.000   0.514
     9.75    47.75    1975   0.499   0.000   0.499
     9.75    47.75    1976   0.534   0.000   0.534
     9.75    47.75    1977   0.543   0.000   0.543
     9.75    47.75    1978   0.533   0.000   0.533
     9.75    47.75    1979   0.505   0.000   0.505
     9.75    47.75    1980   0.459   0.000   0.460
     9.75    47.75    1981   0.578   0.000   0.578
     9.75    47.75    1982   0.496   0.000   0.496
     9.75    47.75    1983   0.483   0.000   0.483
     9.75    47.75    1984   0.486   0.000   0.486
     9.75    47.75    1985   0.557   0.000   0.557
     9.75    47.75    1986   0.496   0.000   0.496
     9.75    47.75    1987   0.464  -0.000   0.464
     9.75    47.75    1988   0.524   0.011   0.535
     9.75    47.75    1989   0.581   0.011   0.592
     9.75    47.75    1990   0.564   0.004   0.568
     9.75    47.75    1991   0.493  -0.001   0.492
     9.75    47.75    1992   0.490   0.000   0.490
     9.75    47.75    1993   0.577   0.000   0.577
     9.75    47.75    1994   0.501   0.000   0.501
     9.75    47.75    1995   0.496   0.000   0.496
     9.75    47.75    1996   0.585   0.000   0.585
     9.75    47.75    1997   0.578   0.000   0.578
     9.75    47.75    1998   0.551   0.000   0.551
     9.75    47.75    1999   0.554   0.000   0.554
     9.75    47.75    2000   0.575   0.000   0.575
     9.75    47.75    2001   0.554   0.000   0.554
     9.75    47.75    2002   0.553   0.000   0.553
     9.75    47.75    2003   0.366   0.000   0.366
     9.75    47.75    2004   0.622   0.000   0.622
     9.75    47.75    2005   0.618   0.000   0.618
     9.75    47.75    2006   0.522   0.009   0.531
     9.75    47.75    2007   0.561   0.014   0.576
     9.75    47.75    2008   0.571  -0.003   0.568
     9.75    47.75    2009   0.538   0.000   0.538
     9.75    47.75    2010   0.542   0.000   0.542
     9.75    47.75    2011   0.603   0.000   0.603
     9.75    47.75    2012   0.581   0.000   0.581
     9.75    47.75    2013   0.487  -0.000   0.487
     9.75    47.75    2014   0.560   0.000   0.560
     9.75    47.75    2015   0.452   0.000   0.452
     9.75    47.75    2016   0.493   0.000   0.493
     9.75    47.75    2017   0.620   0.000   0.620
    10.25    47.75    1901   0.564   0.017   0.581
    10.25    47.75    1902   0.541   0.016   0.558
    10.25    47.75    1903   0.538   0.014   0.552
    10.25    47.75    1904   0.548   0.011   0.559
    10.25    47.75    1905   0.504   0.013   0.517
    10.25    47.75    1906   0.540   0.012   0.553
    10.25    47.75    1907   0.511   0.012   0.523
    10.25    47.75    1908   0.526   0.014   0.540
    10.25    47.75    1909   0.587   0.016   0.603
    10.25    47.75    1910   0.517   0.015   0.532
    10.25    47.75    1911   0.454   0.013   0.467
    10.25    47.75    1912   0.560   0.022   0.582
    10.25    47.75    1913   0.596   0.018   0.613
    10.25    47.75    1914   0.551   0.020   0.571
    10.25    47.75    1915   0.505   0.018   0.523
    10.25    47.75    1916   0.560   0.023   0.583
    10.25    47.75    1917   0.471   0.014   0.485
    10.25    47.75    1918   0.560   0.014   0.574
    10.25    47.75    1919   0.420   0.012   0.432
    10.25    47.75    1920   0.606   0.013   0.619
    10.25    47.75    1921   0.539   0.008   0.547
    10.25    47.75    1922   0.502   0.010   0.512
    10.25    47.75    1923   0.535   0.008   0.543
    10.25    47.75    1924   0.560   0.010   0.570
    10.25    47.75    1925   0.510   0.008   0.518
    10.25    47.75    1926   0.546   0.021   0.567
    10.25    47.75    1927   0.530   0.021   0.551
    10.25    47.75    1928   0.504   0.012   0.516
    10.25    47.75    1929   0.488   0.010   0.498
    10.25    47.75    1930   0.535   0.009   0.543
    10.25    47.75    1931   0.483   0.006   0.489
    10.25    47.75    1932   0.478   0.005   0.483
    10.25    47.75    1933   0.528   0.006   0.534
    10.25    47.75    1934   0.574   0.003   0.577
    10.25    47.75    1935   0.526   0.003   0.529
    10.25    47.75    1936   0.516   0.003   0.520
    10.25    47.75    1937   0.560   0.003   0.563
    10.25    47.75    1938   0.515   0.004   0.519
    10.25    47.75    1939   0.534   0.004   0.538
    10.25    47.75    1940   0.539   0.004   0.543
    10.25    47.75    1941   0.425   0.004   0.430
    10.25    47.75    1942   0.540   0.005   0.545
    10.25    47.75    1943   0.532   0.005   0.537
    10.25    47.75    1944   0.534   0.006   0.540
    10.25    47.75    1945   0.589   0.007   0.596
    10.25    47.75    1946   0.560   0.018   0.578
    10.25    47.75    1947   0.367   0.014   0.382
    10.25    47.75    1948   0.631   0.022   0.653
    10.25    47.75    1949   0.533   0.013   0.546
    10.25    47.75    1950   0.531   0.020   0.552
    10.25    47.75    1951   0.467   0.015   0.482
    10.25    47.75    1952   0.506   0.015   0.520
    10.25    47.75    1953   0.525   0.001   0.525
    10.25    47.75    1954   0.466   0.003   0.469
    10.25    47.75    1955   0.489   0.002   0.491
    10.25    47.75    1956   0.492   0.002   0.494
    10.25    47.75    1957   0.549   0.001   0.551
    10.25    47.75    1958   0.481   0.000   0.481
    10.25    47.75    1959   0.635   0.000   0.635
    10.25    47.75    1960   0.512   0.000   0.512
    10.25    47.75    1961   0.570   0.000   0.570
